State,City,LocationType,SpecificLocation,TimeOfDay,CrowdDensity,Lighting,Weather,CrimeRate,AccidentRisk,SafetyIndex,EmergencySOS,CommunityReports,AccessibilityMode,TravelCompanion,HealthAlerts
Odisha,Cuttack,Public,Temple Area,Evening,High,Good,Sunny,Medium,Medium,25,Disabled,4 reports,Voice+LargeButtons,English+Bengali,AQI=Good
Nagaland,Dimapur,Public,Railway Station,Morning,Medium,Poor,Clear,Low,Medium,87,Enabled,1 reports,Voice+Vibration,English+Malayalam,FloodAlert=Active
Punjab,Amritsar,Industrial,Beach,Afternoon,Medium,Good,Sunny,Low,Medium,34,Enabled,19 reports,VibrationOnly,English+Tamil,AQI=Moderate
Gujarat,Vadodara,Public,City Market,Afternoon,Low,Poor,Rainy,High,Medium,80,Enabled,9 reports,VibrationOnly,English+Bengali,FloodAlert=Active
Nagaland,Mokokchung,Transit,Temple Area,Evening,Low,Good,Rainy,High,Low,85,Enabled,9 reports,Voice+LargeButtons,English+Tamil,AQI=Moderate
Meghalaya,Shillong,Urban,Park,Morning,Medium,Poor,Clear,Low,Medium,85,Enabled,5 reports,VoiceOnly,English+Assamese,Heatwave=Moderate
Telangana,Warangal,Transit,Factory Zone,Afternoon,Low,Poor,Clear,High,High,83,Disabled,5 reports,Voice+Vibration,English+Malayalam,FloodAlert=Active
Assam,Tezpur,Public,Temple Area,Afternoon,Medium,Good,Stormy,Low,Low,75,Disabled,3 reports,VibrationOnly,English+Assamese,StormWarning=Active
Punjab,Patiala,Tourist,Railway Station,Night,Low,Good,Stormy,High,Low,65,Disabled,0 reports,VibrationOnly,English+Telugu,Heatwave=Moderate
Madhya Pradesh,Bhopal,Urban,City Market,Night,High,Poor,Stormy,Low,High,39,Enabled,11 reports,VoiceOnly,English+Kannada,AQI=Good
Rajasthan,Udaipur,Tourist,Factory Zone,Evening,Low,Poor,Foggy,Medium,Low,80,Disabled,6 reports,Voice+Vibration,English+Tamil,Heatwave=Moderate
Delhi,Dwarka,Sensitive,Bus Stop,Evening,Low,Good,Sunny,Medium,Medium,70,Enabled,14 reports,Voice+LargeButtons,English+Telugu,AQI=Good
Uttar Pradesh,Lucknow,Urban,Bus Stop,Night,Medium,Poor,Stormy,Medium,Low,55,Enabled,8 reports,VibrationOnly,English+Assamese,AQI=Poor
Nagaland,Dimapur,Urban,Beach,Evening,Medium,Good,Stormy,High,Low,30,Disabled,6 reports,Voice+Vibration,English+Hindi,AQI=Moderate
West Bengal,Siliguri,Tourist,Apartment Complex,Afternoon,Low,Good,Foggy,Medium,High,51,Enabled,7 reports,Voice+Vibration,English+Malayalam,AQI=Good
Assam,Silchar,Transit,Temple Area,Evening,Low,Good,Clear,Medium,Medium,46,Disabled,5 reports,VoiceOnly,English+Kannada,StormWarning=Active
Rajasthan,Jaipur,Sensitive,Park,Night,Medium,Poor,Sunny,Medium,Low,79,Disabled,20 reports,VibrationOnly,English+Telugu,Heatwave=Moderate
Nagaland,Kohima,Industrial,Railway Station,Afternoon,High,Poor,Clear,Low,Low,30,Disabled,9 reports,VibrationOnly,English+Hindi,AQI=Moderate
Delhi,Dwarka,Urban,City Market,Night,High,Poor,Stormy,Low,Low,39,Disabled,9 reports,Voice+Vibration,English+Punjabi,StormWarning=Active
Rajasthan,Udaipur,Sensitive,City Market,Evening,High,Good,Rainy,Medium,High,27,Enabled,0 reports,Voice+LargeButtons,English+Kannada,AQI=Moderate
Assam,Guwahati,Residential,Temple Area,Evening,High,Poor,Sunny,Low,Low,38,Disabled,7 reports,Voice+LargeButtons,English+Telugu,AQI=Poor
Rajasthan,Jodhpur,Tourist,City Market,Morning,Low,Good,Sunny,Medium,Low,98,Enabled,17 reports,Voice+LargeButtons,English+Kannada,AQI=Good
Tamil Nadu,Chennai,Industrial,City Market,Evening,Low,Good,Clear,Medium,High,57,Enabled,16 reports,VibrationOnly,English+Kannada,AQI=Good
Chhattisgarh,Bilaspur,Residential,City Market,Night,Medium,Poor,Foggy,Medium,Medium,67,Enabled,4 reports,VibrationOnly,English+Malayalam,AQI=Good
Punjab,Amritsar,Urban,Park,Night,Low,Good,Foggy,Medium,Low,76,Enabled,4 reports,VoiceOnly,English+Malayalam,AQI=Moderate
Karnataka,Hubli,Sensitive,Apartment Complex,Evening,High,Good,Sunny,Medium,High,32,Disabled,16 reports,VibrationOnly,English+Gujarati,Heatwave=Moderate
Goa,Panaji,Urban,Railway Station,Evening,Medium,Poor,Foggy,Low,High,71,Disabled,10 reports,VibrationOnly,English+Telugu,FloodAlert=Active
Tamil Nadu,Coimbatore,Public,Forest Path,Night,Medium,Good,Sunny,Low,High,59,Disabled,1 reports,Voice+LargeButtons,English+Malayalam,StormWarning=Active
Odisha,Cuttack,Sensitive,Forest Path,Evening,Low,Good,Foggy,Medium,Medium,65,Disabled,11 reports,Voice+Vibration,English+Gujarati,Heatwave=Moderate
Punjab,Amritsar,Sensitive,Apartment Complex,Morning,Low,Poor,Stormy,High,High,39,Disabled,12 reports,VibrationOnly,English+Punjabi,FloodAlert=Active
Haryana,Panipat,Urban,Forest Path,Morning,Low,Good,Stormy,High,Low,83,Enabled,16 reports,VoiceOnly,English+Bengali,AQI=Poor
Delhi,Connaught Place,Sensitive,Factory Zone,Morning,Medium,Poor,Clear,High,High,83,Enabled,18 reports,VoiceOnly,English+Bengali,FloodAlert=Active
Haryana,Faridabad,Transit,Metro Station,Night,Low,Poor,Stormy,Low,Medium,38,Enabled,12 reports,VoiceOnly,English+Tamil,StormWarning=Active
Assam,Guwahati,Transit,Factory Zone,Afternoon,High,Poor,Stormy,Low,High,31,Disabled,15 reports,VoiceOnly,English+Bengali,AQI=Poor
Haryana,Panipat,Residential,Park,Night,High,Good,Foggy,Medium,Medium,62,Enabled,17 reports,Voice+LargeButtons,English+Punjabi,StormWarning=Active
Punjab,Ludhiana,Residential,Park,Night,Medium,Good,Rainy,High,Low,85,Disabled,16 reports,Voice+LargeButtons,English+Kannada,AQI=Moderate
Odisha,Puri,Tourist,Apartment Complex,Evening,Medium,Good,Stormy,Low,High,98,Enabled,7 reports,Voice+LargeButtons,English+Hindi,StormWarning=Active
Madhya Pradesh,Gwalior,Industrial,Beach,Morning,Medium,Poor,Stormy,Low,Low,50,Disabled,15 reports,VoiceOnly,English+Telugu,StormWarning=Active
Madhya Pradesh,Indore,Residential,Park,Afternoon,Low,Poor,Clear,High,Low,100,Disabled,12 reports,VoiceOnly,English+Telugu,AQI=Good
Punjab,Patiala,Transit,Railway Station,Afternoon,High,Good,Foggy,High,Low,76,Enabled,4 reports,Voice+LargeButtons,English+Malayalam,StormWarning=Active
Assam,Guwahati,Transit,Park,Night,Medium,Good,Clear,Medium,Medium,33,Disabled,19 reports,Voice+Vibration,English+Telugu,StormWarning=Active
Goa,Margao,Residential,City Market,Evening,Medium,Poor,Sunny,High,Low,17,Enabled,4 reports,VibrationOnly,English+Gujarati,AQI=Poor
Delhi,Dwarka,Urban,City Market,Evening,Medium,Poor,Rainy,Low,High,84,Disabled,2 reports,Voice+LargeButtons,English+Hindi,AQI=Good
Meghalaya,Shillong,Public,Factory Zone,Morning,High,Good,Foggy,High,Medium,93,Disabled,18 reports,VibrationOnly,English+Bengali,AQI=Poor
Tamil Nadu,Chennai,Tourist,Railway Station,Afternoon,High,Poor,Clear,Low,High,24,Enabled,19 reports,VibrationOnly,English+Punjabi,AQI=Poor
Karnataka,Hubli,Residential,Railway Station,Night,Low,Poor,Sunny,High,High,73,Enabled,20 reports,VoiceOnly,English+Punjabi,AQI=Good
Goa,Panaji,Sensitive,Factory Zone,Evening,Medium,Good,Clear,Low,Medium,39,Disabled,20 reports,VibrationOnly,English+Punjabi,AQI=Moderate
Goa,Vasco,Residential,Apartment Complex,Morning,Low,Good,Stormy,Medium,High,50,Disabled,4 reports,Voice+Vibration,English+Kannada,AQI=Poor
Chhattisgarh,Raipur,Residential,Forest Path,Evening,Low,Poor,Stormy,Medium,High,38,Enabled,8 reports,Voice+Vibration,English+Tamil,AQI=Good
Kerala,Kozhikode,Transit,Railway Station,Evening,High,Good,Foggy,Medium,High,74,Disabled,18 reports,Voice+Vibration,English+Assamese,StormWarning=Active
Nagaland,Kohima,Transit,Bus Stop,Night,Low,Good,Foggy,Low,Medium,18,Disabled,4 reports,Voice+LargeButtons,English+Telugu,AQI=Good
Uttar Pradesh,Kanpur,Residential,Apartment Complex,Morning,Low,Good,Clear,High,Low,94,Disabled,1 reports,VoiceOnly,English+Assamese,AQI=Poor
Meghalaya,Jowai,Sensitive,City Market,Morning,Low,Poor,Rainy,High,Low,51,Enabled,8 reports,VoiceOnly,English+Assamese,Heatwave=Moderate
Gujarat,Vadodara,Public,Temple Area,Morning,High,Poor,Clear,Low,High,40,Disabled,5 reports,Voice+LargeButtons,English+Telugu,AQI=Good
Gujarat,Vadodara,Transit,Bus Stop,Morning,Low,Poor,Foggy,Medium,High,16,Disabled,9 reports,VibrationOnly,English+Tamil,AQI=Poor
Gujarat,Ahmedabad,Sensitive,Bus Stop,Afternoon,Low,Good,Clear,High,High,66,Disabled,0 reports,Voice+Vibration,English+Bengali,AQI=Moderate
Karnataka,Mysuru,Residential,Bus Stop,Morning,Medium,Poor,Rainy,High,Low,18,Enabled,20 reports,VibrationOnly,English+Tamil,AQI=Poor
Odisha,Puri,Residential,Factory Zone,Morning,Low,Poor,Foggy,High,High,19,Enabled,9 reports,Voice+LargeButtons,English+Malayalam,AQI=Moderate
Gujarat,Vadodara,Urban,Bus Stop,Morning,High,Poor,Sunny,Medium,High,33,Enabled,20 reports,VoiceOnly,English+Bengali,AQI=Good
Gujarat,Surat,Transit,Temple Area,Night,Medium,Good,Rainy,Medium,High,67,Enabled,14 reports,VoiceOnly,English+Gujarati,StormWarning=Active
